type	tick	count	heap_allocated_pages	heap_sorted_length	heap_allocatable_pages	heap_available_slots	heap_live_slots	heap_free_slots	heap_final_slots	heap_marked_slots	heap_eden_pages	heap_tomb_pages	total_allocated_pages	total_freed_pages	total_allocated_objects	total_freed_objects	malloc_increase_bytes	malloc_increase_bytes_limit	minor_gc_count	major_gc_count	remembered_wb_unprotected_objects	remembered_wb_unprotected_objects_limit	old_objects	old_objects_limit	oldmalloc_increase_bytes	oldmalloc_increase_bytes_limit	major_by	gc_by	have_finalizer	immediate_sweep	state	
end_sweep	1551930741750323	42	743	743	0	302855	271024	31830	1	223117	743	0	743	0	983519	712494	16959344	16777216	33	9	347	694	222679	362576	16959344	16777216	0	newobj	0	0	sweeping	
start	1551930741750334	43	743	743	0	302855	271024	31830	1	223117	743	0	743	0	983519	712494	0	23743081	33	9	347	694	222679	362576	16959344	20132659	0	malloc	0	0	none	
end_mark	1551930741750592	43	743	743	0	302855	271024	31830	1	223278	743	0	743	0	983519	712494	0	23743081	34	9	347	694	222680	362576	16959344	20132659	0	malloc	0	0	marking	
end_sweep	1551930742770842	43	743	743	0	302855	223956	78899	0	223278	743	0	743	0	984197	760241	23102384	23743081	34	9	347	694	222680	362576	40053344	20132659	0	malloc	0	0	sweeping	
start	1551930742806998	44	743	743	0	302855	223980	78875	0	223278	743	0	743	0	984221	760241	0	33525699	34	9	347	694	222680	362576	40897888	24159190	oldmalloc	malloc	0	0	none	
end_mark	1551930744221064	44	743	743	0	302855	224934	77921	0	223829	743	0	743	0	985175	760241	33658560	33525699	34	10	347	694	222681	445362	74556448	24159190	oldmalloc	malloc	0	0	marking	
end_sweep	1551930744222194	44	743	743	0	302855	223829	79026	0	223829	743	0	743	0	985175	761346	33036896	33525699	34	10	347	694	222681	445362	73934784	24159190	oldmalloc	malloc	0	0	sweeping	
start	1551930744222202	45	743	743	0	302855	223829	79026	0	223829	743	0	743	0	985175	761346	0	32855185	34	10	347	694	222681	445362	0	24159190	oldmalloc	malloc	0	0	none	
end_mark	1551930745602461	45	743	743	0	302855	224759	78096	0	224137	743	0	743	0	986105	761346	32999872	32855185	34	11	347	694	222841	445682	32999872	24159190	oldmalloc	malloc	0	0	marking	
end_sweep	1551930745603229	45	743	743	0	302855	224137	78718	0	224137	743	0	743	0	986105	761968	32378880	32855185	34	11	347	694	222841	445682	32378880	24159190	oldmalloc	malloc	0	0	sweeping	
start	1551930745603236	46	743	743	0	302855	224137	78718	0	224137	743	0	743	0	986105	761968	0	32198081	34	11	347	694	222841	445682	0	23685480	0	malloc	0	0	none	
end_mark	1551930745603489	46	743	743	0	302855	224137	78718	0	224136	743	0	743	0	986105	761968	0	32198081	35	11	347	694	223393	445682	0	23685480	0	malloc	0	0	marking	
end_sweep	1551930746931378	46	743	743	0	302855	225042	77813	0	224136	743	0	743	0	987011	761969	32336064	32198081	35	11	347	694	223393	445682	32336064	23685480	0	malloc	0	0	sweeping	
start	1551930746931389	47	743	743	0	302855	225042	77813	0	224136	743	0	743	0	987011	761969	0	33554432	35	11	347	694	223393	445682	32336064	28422576	0	malloc	0	0	none	
end_mark	1551930746931841	47	743	743	0	302855	225042	77813	0	224440	743	0	743	0	987011	761969	0	33554432	36	11	347	694	223703	445682	32336064	28422576	0	malloc	0	0	marking	
end_sweep	1551930748376076	47	743	743	0	302855	225394	77461	0	224440	743	0	743	0	987965	762571	33751456	33554432	36	11	347	694	223703	445682	65793216	28422576	0	malloc	0	0	sweeping	
start	1551930748376088	48	743	743	0	302855	225394	77461	0	224440	743	0	743	0	987965	762571	0	33554432	36	11	347	694	223703	445682	65793216	34107091	oldmalloc	malloc	0	0	none	
end_mark	1551930749801990	48	743	743	0	302855	226324	76531	0	225069	743	0	743	0	988895	762571	33579968	33554432	36	12	347	694	223703	447406	99373184	34107091	oldmalloc	malloc	0	0	marking	
end_sweep	1551930749803227	48	743	743	0	302855	225069	77786	0	225069	743	0	743	0	988895	763826	31357760	33554432	36	12	347	694	223703	447406	97150976	34107091	oldmalloc	malloc	0	0	sweeping	
start	1551930749803236	49	743	743	0	302855	225069	77786	0	225069	743	0	743	0	988895	763826	0	32883343	36	12	347	694	223703	447406	0	34107091	oldmalloc	malloc	0	0	none	
end_mark	1551930751204143	49	743	743	0	302855	225975	76880	0	225369	743	0	743	0	989801	763826	32899264	32883343	36	13	347	694	224005	448010	32899264	34107091	oldmalloc	malloc	0	0	marking	
end_sweep	1551930751205014	49	743	743	0	302855	225369	77486	0	225369	743	0	743	0	989801	764432	31539200	32883343	36	13	347	694	224005	448010	31539200	34107091	oldmalloc	malloc	0	0	sweeping	
start	1551930751205023	50	743	743	0	302855	225369	77486	0	225369	743	0	743	0	989801	764432	0	32225676	36	13	347	694	224005	448010	0	33438324	0	malloc	0	0	none	
end_mark	1551930751205349	50	743	743	0	302855	225369	77486	0	225368	743	0	743	0	989801	764432	0	32225676	37	13	347	694	224633	448010	0	33438324	0	malloc	0	0	marking	
end_sweep	1551930752550490	50	743	743	0	302855	226256	76599	0	225368	743	0	743	0	990689	764433	32410880	32225676	37	13	347	694	224633	448010	32410880	33438324	0	malloc	0	0	sweeping	
start	1551930752550500	51	743	743	0	302855	226256	76599	0	225368	743	0	743	0	990689	764433	0	33554432	37	13	347	694	224633	448010	32410880	33438324	0	malloc	0	0	none	
end_mark	1551930752550869	51	743	743	0	302855	226256	76599	0	225666	743	0	743	0	990689	764433	0	33554432	38	13	347	694	224935	448010	32410880	33438324	0	malloc	0	0	marking	
end_sweep	1551930753971516	51	743	743	0	302855	226614	76241	0	225666	743	0	743	0	991637	765023	33545344	33554432	38	13	347	694	224935	448010	65727360	33438324	0	malloc	0	0	sweeping	
start	1551930753980891	52	743	743	0	302855	226619	76236	0	225666	743	0	743	0	991642	765023	0	33554432	38	13	347	694	224935	448010	65739456	40125988	0	malloc	0	0	none	
end_mark	1551930753981297	52	743	743	0	302855	226619	76236	0	225983	743	0	743	0	991642	765023	0	33554432	39	13	347	694	224935	448010	65739456	40125988	0	malloc	0	0	marking	
end_sweep	1551930755443971	52	743	743	0	302855	226932	75923	0	225983	743	0	743	0	992591	765659	33653792	33554432	39	13	347	694	224935	448010	99142016	40125988	0	malloc	0	0	sweeping	
start	1551930755443997	53	743	743	0	302855	226932	75923	0	225983	743	0	743	0	992591	765659	0	33554432	39	13	347	694	224935	448010	99142016	48151185	oldmalloc	malloc	0	0	none	
end_mark	1551930756859417	53	743	743	0	302855	227838	75017	0	226603	743	0	743	0	993497	765659	33642688	33554432	39	14	347	694	225231	450462	132784704	48151185	oldmalloc	malloc	0	0	marking	
end_sweep	1551930756860508	53	743	743	0	302855	226603	76252	0	226603	743	0	743	0	993497	766894	29560448	33554432	39	14	347	694	225231	450462	128702464	48151185	oldmalloc	malloc	0	0	sweeping	
start	1551930756860516	54	743	743	0	302855	226603	76252	0	226603	743	0	743	0	993497	766894	0	32883343	39	14	347	694	225231	450462	0	48151185	oldmalloc	malloc	0	0	none	
end_mark	1551930758040747	54	743	743	0	302855	227485	75370	0	226895	743	0	743	0	994379	766894	32927680	32883343	39	15	347	694	225548	451096	32927680	48151185	oldmalloc	malloc	0	0	marking	
end_sweep	1551930758041476	54	743	743	0	302855	226895	75960	0	226895	743	0	743	0	994379	767484	30697472	32883343	39	15	347	694	225548	451096	30697472	48151185	oldmalloc	malloc	0	0	sweeping	
start	1551930758041483	55	743	743	0	302855	226895	75960	0	226895	743	0	743	0	994379	767484	0	32225676	39	15	347	694	225548	451096	0	47207044	0	malloc	0	0	none	
end_mark	1551930758041766	55	743	743	0	302855	226895	75960	0	226894	743	0	743	0	994379	767484	0	32225676	40	15	347	694	226167	451096	0	47207044	0	malloc	0	0	marking	
end_sweep	1551930759166945	55	743	743	0	302855	227758	75097	0	226894	743	0	743	0	995243	767485	32406528	32225676	40	15	347	694	226167	451096	32406528	47207044	0	malloc	0	0	sweeping	
start	1551930759166955	56	743	743	0	302855	227758	75097	0	226894	743	0	743	0	995243	767485	0	33554432	40	15	347	694	226167	451096	32406528	47207044	0	malloc	0	0	none	
end_mark	1551930759167314	56	743	743	0	302855	227758	75097	0	227184	743	0	743	0	995243	767485	0	33554432	41	15	347	694	226461	451096	32406528	47207044	0	malloc	0	0	marking	
end_sweep	1551930760499097	56	743	743	0	302855	228132	74723	0	227184	743	0	743	0	996191	768059	33599296	33554432	41	15	347	694	226461	451096	65848704	47207044	0	malloc	0	0	sweeping	
start	1551930760499108	57	743	743	0	302855	228132	74723	0	227184	743	0	743	0	996191	768059	0	33554432	41	15	347	694	226461	451096	65848704	56648452	0	malloc	0	0	none	
end_mark	1551930760499526	57	743	743	0	302855	228132	74723	0	227500	743	0	743	0	996191	768059	0	33554432	42	15	347	694	226461	451096	65848704	56648452	0	malloc	0	0	marking	
end_sweep	1551930761886534	57	743	743	0	302855	228454	74401	0	227500	743	0	743	0	997145	768691	33588000	33554432	42	15	347	694	226461	451096	99286208	56648452	0	malloc	0	0	sweeping	
