Measure Mode: wall_time
Thread ID: 70279334387720
Fiber ID: 70279335375600
Total: 0.067638
Sort by: self_time

 %self      total      self      wait     child     calls  name
 16.20      0.066     0.011     0.000     0.055        1   CSV::Parser#parse
 11.08      0.011     0.007     0.000     0.004    11260   CSV::Parser::InputsScanner#scan
 10.11      0.012     0.007     0.000     0.005     9614   CSV::Parser::InputsScanner#scan_all
  9.79      0.019     0.007     0.000     0.012     9613   CSV::Parser#parse_unquoted_column_value
  7.71      0.005     0.005     0.000     0.000    20881   StringScanner#scan
  7.57      0.012     0.005     0.000     0.006     1646   CSV::Parser#emit_row
  7.51      0.024     0.005     0.000     0.019     9613   CSV::Parser#parse_column_value
  5.90      0.013     0.004     0.000     0.009     9613   CSV::Parser#parse_column_end
  3.39      0.002     0.002     0.000     0.000    17696   StringScanner#eos?
  2.66      0.002     0.002     0.000     0.000     4134   String#inspect
  1.99      0.001     0.001     0.000     0.000        1   <Class::IO>#write
  1.72      0.003     0.001     0.000     0.002     1647   CSV::Parser#start_row
  1.52      0.001     0.001     0.000     0.000     8847   Kernel#nil?
  1.31      0.003     0.001     0.000     0.002      263   Array#inspect
  1.04      0.001     0.001     0.000     0.000     1647   CSV::Parser::InputsScanner#keep_start
  0.94      0.002     0.001     0.000     0.002     1647   CSV::Parser#parse_row_end
  0.90      0.001     0.001     0.000     0.001     1646   CSV::FieldsConverter#convert
  0.87      0.001     0.001     0.000     0.000     1646   CSV::FieldsConverter#need_convert?
  0.81      0.001     0.001     0.000     0.000     3320   String#to_i
  0.70      0.001     0.000     0.000     0.000     1647   CSV::Parser::InputsScanner#keep_drop
  0.66      0.000     0.000     0.000     0.000      263   Array#join
  0.61      0.000     0.000     0.000     0.000      263   IO#write
  0.60      0.000     0.000     0.000     0.000     1647   CSV::Parser#skip_needless_lines
  0.60      0.000     0.000     0.000     0.000      263   Array#sort!
  0.50      0.000     0.000     0.000     0.000        8   IO#gets
