Measure Mode: wall_time
Thread ID: 70362868231680
Fiber ID: 70362876497940
Total: 0.529406
Sort by: self_time

 %self      total      self      wait     child     calls  name
 13.44      0.188     0.071     0.000     0.117    30450   String#each_line
  8.82      0.090     0.047     0.000     0.043    25788   <Class::Date>#iso8601
  8.37      0.044     0.044     0.000     0.000    25788   Array#include?
  7.31      0.039     0.039     0.000     0.000    25788   Regexp#match
  6.72      0.036     0.036     0.000     0.000    30450   String#split
  5.84      0.217     0.031     0.000     0.187     9326  *Array#each
  5.26      0.028     0.028     0.000     0.000    77076   String#encode
  5.09      0.106     0.027     0.000     0.079        1   JSON::Ext::Generator::GeneratorMethods::Hash#to_json
  4.09      0.047     0.022     0.000     0.026    25788   JSON::Ext::Generator::GeneratorMethods::Object#to_json
  3.73      0.020     0.020     0.000     0.000    25788   Parser#parse_session
  3.49      0.023     0.018     0.000     0.004     9324   Array#map
  3.16      0.017     0.017     0.000     0.000    25788   Date#to_s
  3.13      0.205     0.017     0.000     0.188        1   IO#each
  1.89      0.010     0.010     0.000     0.000    19425   String#=~
  1.79      0.099     0.009     0.000     0.090     4662   Array#map!
  1.71      0.009     0.009     0.000     0.000    32639   Symbol#to_s
  1.66      0.009     0.009     0.000     0.000    56238   String#start_with?
  1.54      0.014     0.008     0.000     0.006     4662   Enumerable#sort_by
  0.97      0.005     0.005     0.000     0.000     4662   Hash#merge!
  0.95      0.005     0.005     0.000     0.000     4663   Array#sort
  0.84      0.004     0.004     0.000     0.000    25788   String#upcase!
  0.84      0.004     0.004     0.000     0.000    25788   Integer#div
  0.82      0.012     0.004     0.000     0.008     4662   Array#any?
  0.79      0.004     0.004     0.000     0.000    25788   String#to_i
  0.77      0.004     0.004     0.000     0.000     4662   Parser#parse_user
  0.77      0.004     0.004     0.000     0.000     4663   Array#join
  0.69      0.018     0.004     0.000     0.014     4662   Array#sort_by!
  0.66      0.005     0.003     0.000     0.002     4662   Class#new
  0.49      0.003     0.003     0.000     0.000     4664   Hash#keys
  0.47      0.003     0.003     0.000     0.000     9324   Integer#to_s
  0.44      0.008     0.002     0.000     0.005     4662   Enumerable#all?
  0.38      0.002     0.002     0.000     0.000     4662   User#initialize
  0.30      0.002     0.002     0.000     0.000     4662   Array#reverse!
  0.24      0.001     0.001     0.000     0.000        1   <Class::IO>#write
  0.21      0.001     0.001     0.000     0.000     4662   Array#sum
  0.21      0.001     0.001     0.000     0.000     4662   Array#max
  0.15      0.001     0.001     0.000     0.000     4662   String#to_s
  0.13      0.001     0.001     0.000     0.000     4664   Array#count
  0.03      0.529     0.000     0.000     0.529        1   Parser#work
  0.01      0.000     0.000     0.000     0.000        1   File#initialize
  0.00      0.529     0.000     0.000     0.529        1   [global]#[no method]
  0.00      0.206     0.000     0.000     0.206        1   Parser#collect_stats_from_users
  0.00      0.000     0.000     0.000     0.000        1   <Class::IO>#open
  0.00      0.000     0.000     0.000     0.000        1   Parser#create_sort_uniq_browsers
  0.00      0.000     0.000     0.000     0.000        1   Kernel#initialize_dup
  0.00      0.000     0.000     0.000     0.000        1   Kernel#dup
  0.00      0.000     0.000     0.000     0.000        1   JSON::Ext::Generator::State#initialize_copy

* indicates recursively called methods
